FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
181,8,"2,003",42.65166667,-67.58666667,4.4,NA,162636.37,162661.53,2.20E-06,0,893009.35,750238.69,584410.21,460472.96,331153.82,278783.97
182,8,"2,003",41.475,-67.57166667,4.8,NA,198216.22,196626.55,2.10E-06,0,829724.35,696320.71,549793.19,434025.79,315048.79,296135.87
183,11,"2,002",43.495,-67.56166667,2.7,NA,90554.88,90558.1,1.10E-06,0,949271.85,802341.27,627738.2,502742.62,374438.3,305720.54
184,11,"2,002",41.25,-67.47166667,6,NA,208664.13,206860.86,1.60E-06,0,826872.85,696090.33,554570.37,441440.67,326128.98,313243.35
185,6,"2,004",43.42666667,-67.47166667,4.8,NA,101025.78,101019.22,1.00E-06,0,950397.89,803943.25,630285.16,505257.17,376560.24,309393.48
186,6,"2,002",43.18833333,-67.40833333,3.9,NA,125718.21,125813.25,1.20E-06,0,938764.97,793529.98,622377.07,497452.8,368081.85,305253.51
187,11,"2,000",41.75333333,-67.38333333,6.12,NA,211764.75,210048.4,1.70E-06,0,857390.31,721931.96,570849.09,452559.48,329822.38,302095.45
188,11,"2,004",41.47166667,-67.25666667,5.7,NA,224386.86,222559.91,1.20E-06,0,853254.6,720823.71,575528.08,460063.93,341114.94,320904.17
189,11,"2,004",42.15166667,-67.2,4.2,NA,226173.7,226313.7,1.30E-06,0,891466.06,753223.62,596196.01,475114.81,348653.04,309882.85
190,11,"2,004",40.84333333,-67.19,4.5,NA,237749.26,235776.75,5.00E-07,0,831927.76,706575.09,574833.33,466978.83,358641.26,354634.48
191,1,"2,002",41.79,-67.17333333,5.2,NA,229284.94,227421.37,1.20E-06,0,874733.48,739562.26,588655.2,470277.79,347255.71,318083.67
192,11,"2,000",44.125,-67.17,3.74,NA,48172.84,48140.06,2.00E-07,0,1017691.58,869306.86,691473.52,567013.09,440783.69,366565.25
193,11,"2,005",40.725,-67.16333333,4,NA,243071.89,241129.47,3.00E-07,0,829650.45,705815.72,576864.23,470642.61,364523.35,363201.27
194,8,"2,004",40.605,-67.13166667,0.2,NA,249464.19,247562,2.00E-07,0,827933.9,705694.47,579630.53,475109,371264.22,372517.1
195,8,"2,001",41.03,-67.115,4,NA,240468.33,238383.83,5.00E-07,0,845071.35,717737.92,582016.99,471702.64,359772.58,350543.07
196,8,"2,001",41.03,-67.115,0,-23.9,240468.33,238383.83,5.00E-07,0,845071.35,717737.92,582016.99,471702.64,359772.58,350543.07
197,8,"2,001",44.12166667,-67.09333333,3.6,NA,52495.31,52431.65,1.00E-07,0,1022179.95,873939.79,696376.52,571847.76,445394.72,371579.18
